Date,Exercise,Set 1 Weight,Set 1 Reps,Set 2 Weight,Set 2 Reps,Set 3 Weight,Set 3 Reps,Set 4 Weight,Set 4 Reps,Set 5 Weight,Set 5 Reps,Comments
11/5/2023,Dumbbell Row,60,8,60,8,,,,,,,
11/5/2023,Bicep Curls,35,8,35,5,,,,,,,dropset
11/5/2023,Rear Delt Fly Machine,100,11,100,9,,,,,,,
11/6/2023,Barbell Squat,135,6,185,7,185,6,185,5,,,
11/6/2023,Prone Hamstring Curls,105,7,105,6,105,5,,,,,
11/6/2023,Leg Raises,0,16,0,12,0,10,,,,,
11/6/2023,Lateral Raise Machine,80,10,80,10,80,7,,,,,superdrop
11/7/2023,Bench Press,200,1,175,6,175,3,175,3,155,7,pr: 200
11/7/2023,Skullcrushers,40,16,50,8,50,6,50,6,,,
11/7/2023,Lateral Raises,15,16,15,18,15,20,15,16,,,"lean forward, retract shoulder blades "
11/9/2023,Pull Ups,0,10,0,8,0,7,0,5,,,
11/9/2023,Barbell Row,65,16,95,10,95,8,95,10,,,
11/9/2023,Lat Pulldown,150,8,150,7,,,,,,,
11/9/2023,Rear Delt Fly Machine,105,10,105,7,105,5,,,,,
11/9/2023,Bicep Curls,35,7,35,6,,,,,,,
11/9/2023,Hammer Curl,30,7,30,5,,,,,,,
11/10/2023,Barbell Squat,185,5,185,7,185,7,,,,,
11/10/2023,Prone Hamstring Curls,105,9,105,6,105,5,,,,,
11/10/2023,Hanging Leg Raises,0,8,0,8,0,8,,,,,Can't raise legs fully
11/10/2023,Lateral Raise Machine,70,12,70,11,,,,,,,super drop
11/11/2023,Pause Bench Press,155,7,155,5,155,5,,,,,
11/11/2023,Dumbbell Shoulder Press,55,7,55,6,55,5,,,,,
11/11/2023,Incline Dumbbell Bench Press,60,5,60,3,,,,,,,
11/11/2023,Skullcrushers,45,10,45,11,45,7,,,,,blom ez curl bar ?
11/11/2023,Lateral Raises,15,18,15,15,15,15,,,,,drop set
11/12/2023,Pull Ups,0,9,0,7,0,6,0,4,,,
11/12/2023,Barbell Row,95,12,95,10,95,10,95,10,,,
11/12/2023,Bicep Curls,35,8,35,6,,,,,,,
11/12/2023,Hammer Curl,30,7,30,7,,,,,,,
11/12/2023,Rear Delt Fly Machine,105,9,90,9,90,7,,,,,back on seat
11/14/2023,Barbell Squat,185,8,185,7,205,2,,,,,
11/14/2023,Hamstring Curl Machine,105,9,105,6,105,5,,,,,
11/14/2023,Hanging Leg Raises,0,10,0,8,0,7,,,,,
11/14/2023,Lateral Raise Machine,70,13,70,9,70,7,,,,,
11/16/2023,Dumbbell Shoulder Press,55,10,55,7,55,7,55,6,,,
11/16/2023,Pause Bench Press,155,4,,,,,,,,,
11/16/2023,Incline Dumbbell Bench Press,60,6,60,6,60,5,,,,,
11/16/2023,Skullcrushers,45,12,45,10,45,8,,,,,
11/16/2023,Lateral Raises,15,16,15,15,,,,,,,super drop
11/16/2023,Pec Fly Machine,120,5,110,5,,,,,,,
11/17/2023,Pull Ups,0,9,0,7,0,6,0,3,,,
11/17/2023,Barbell Row,105,10,105,8,105,8,,,,,
11/17/2023,Bicep Curls,35,7,35,5,,,,,,,
11/17/2023,Hammer Curl,30,8,30,5,,,,,,,
11/17/2023,Rear Delt Fly Machine,90,10,90,8,90,7,,,,,
11/18/2023,Pause Bench Press,155,7,155,4,135,8,,,,,
11/18/2023,Dumbbell Shoulder Press,55,7,55,5,55,6,,,,,
11/18/2023,Incline Dumbbell Bench Press,55,7,55,5,,,,,,,
11/18/2023,Skullcrushers,45,13,45,8,,,,,,,
11/18/2023,Lateral Raises,15,18,15,16,15,16,,,,,
11/18/2023,Pec Fly Machine,110,7,110,7,,,,,,,
11/19/2023,Pull Ups,0,9,0,7,0,5,0,4,,,
11/19/2023,Barbell Row,105,8,105,8,105,10,,,,,
11/19/2023,Bicep Curls,35,6,,,,,,,,,competition w/ alison
11/19/2023,Rear Delt Fly Machine,90,10,90,8,90,6,,,,,
11/21/2023,Barbell Squat,185,7,185,7,205,5,205,4,,,
11/21/2023,Quad Extension Machine,145,8,145,8,145,6,,,,,
11/21/2023,RDL,60,12,60,10,60,10,,,,,
11/22/2023,Bench Press,175,6,175,5,175,4,155,6,,,
11/22/2023,Dumbbell Shoulder Press,55,8,55,7,55,5,,,,,
11/22/2023,Skullcrushers,45,12,45,13,45,10,,,,,
11/22/2023,Decline Cable Flies,32.5,8,,,,,,,,,
11/22/2023,Lateral Raises,20,15,20,15,,,,,,,superdrop
11/25/2023,Pull Ups,0,7,0,6,0,4,0,4,,,
11/25/2023,Barbell Row,105,10,105,9,105,8,105,7,,,
11/25/2023,Bicep Curls,35,6,35,4,30,9,,,,,
11/25/2023,Hammer Curl,30,8,30,7,,,,,,,
11/25/2023,Face Pulls,44,12,47.5,15,,,,,,,
11/25/2023,Rear Delt Cable Flies,12.5,9,12.5,7,,,,,,,
11/27/2023,Pause Bench Press,155,7,155,5,155,5,,,,,
11/27/2023,Dumbbell Shoulder Press,55,8,55,7,55,5,,,,,
11/27/2023,Skullcrushers,50,10,50,9,50,6,,,,,
11/27/2023,Lateral Raises,20,15,15,15,15,15,,,,,superdrop
11/29/2023,Pull Ups,0,10,0,7,0,7,0,5,,,
11/29/2023,Barbell Row,115,8,115,8,115,7,95,12,,,
11/29/2023,Bicep Curls,35,7,35,6,35,5,,,,,
11/29/2023,Hammer Curl,30,7,30,5,,,,,,,
11/29/2023,Rear Delt Fly Machine,90,10,90,6,90,6,,,,,
11/30/2023,Barbell Squat,185,6,205,4,205,5,205,,,,
11/30/2023,RDL,65,12,85,10,85,9,,,,,
11/30/2023,Leg Raises,0,12,,,,,,,,,& ab circuit
12/2/2023,Bench Press,205,1,210,1,175,6,175,4,,,Pr: 210
12/2/2023,Dumbbell Shoulder Press,55,8,55,7,55,6,,,,,
12/2/2023,Incline Dumbbell Bench Press,55,7,55,5,,,,,,,
12/2/2023,Skullcrushers,50,10,50,8,,,,,,,
12/2/2023,Lateral Raises,15,18,15,12,,,,,,,
12/4/2023,Barbell Squat,205,5,205,4,205,2,,,,,
12/4/2023,RDL,65,10,85,10,85,10,,,,,
12/4/2023,Quad Extension Machine,145,9,145,8,145,6,,,,,
12/4/2023,Leg Raises,0,13,,,,,,,,,Partner
12/5/2023,Pull Ups,0,9,0,7,0,5,,,,,
12/5/2023,Barbell Row,115,8,115,7,115,7,,,,,
12/5/2023,Lat Pulldown,150,7,150,5,,,,,,,
12/5/2023,Bicep Curls,35,6,35,5,,,,,,,
12/5/2023,Hammer Curl,30,6,30,6,,,,,,,
12/7/2023,Pause Bench Press,155,5,155,5,155,4,,,,,
12/7/2023,Dumbbell Shoulder Press,55,9,55,6,55,6,,,,,
12/7/2023,Skullcrushers,55,7,55,6,55,3,,,,,
12/7/2023,Decline Cable Flies,32.5,9,32.5,7,,,,,,,
12/7/2023,Lateral Raises,15,20,20,10,,,,,,,drop
12/8/2023,Pull Ups,0,9,0,7,0,6,0,4,,,
12/8/2023,Barbell Row,105,12,105,10,105,8,105,8,,,
12/8/2023,Bicep Curls,35,7,35,5,,,,,,,
12/8/2023,Hammer Curl,30,8,30,7,,,,,,,
12/8/2023,Rear Delt Cable Flies,12.5,11,12.5,9,12.5,8,,,,,
12/9/2023,Smith Machine Barbell Squat,185,6,185,6,185,4,,,,,
12/9/2023,Prone Hamstring Curls,105,7,105,6,105,6,,,,,
12/9/2023,Quad Extension Machine,160,8,160,8,,,,,,,
12/9/2023,Leg Raises,0,10,0,10,0,10,,,,,partner
12/9/2023,Horizontal Cable Lateral Raise,7.5,12,7.5,12,,,,,,,
12/10/2023,Pause Bench Press,155,7,155,5,155,4,,,,,
12/10/2023,Bench Press,155,7,,,,,,,,,
12/10/2023,Dumbbell Shoulder Press,55,7,55,6,55,5,,,,,
12/10/2023,Skullcrushers,50,12,55,11,55,10,,,,,
12/10/2023,Decline Cable Flies,32.5,8,29,12,,,,,,,
12/10/2023,Lateral Raises,20,15,20,12,,,,,,,super drop
12/11/2023,Pull Ups,0,10,0,8,0,5,,,,,
12/11/2023,Barbell Row,115,8,115,6,115,6,,,,,
12/11/2023,Bicep Curls,35,6,35,6,,,,,,,
12/11/2023,Hammer Curl,30,8,30,7,,,,,,,
12/11/2023,Rear Delt Cable Flies,12.5,12,12.5,10,12.5,11,,,,,
12/12/2023,Barbell Squat,205,6,205,5,205,2,,,,,to failure 
12/12/2023,Prone Hamstring Curls,105,7,105,6,105,6,,,,,
12/12/2023,Quad Extension Machine,160,10,160,8,160,7,,,,,
12/12/2023,Leg Raises,0,12,0,10,,,,,,,
12/13/2023,Bench Press,175,7,175,4,155,7,,,,,
12/13/2023,Dumbbell Shoulder Press,55,9,55,7,55,6,,,,,
12/13/2023,Incline Dumbbell Bench Press,60,7,60,5,,,,,,,
12/13/2023,Skullcrushers,55,8,55,6,,,,,,,
12/13/2023,Decline Cable Flies,29,10,29,10,,,,,,,
12/13/2023,Lateral Raises,15,25,20,10,,,,,,,super drop 
12/15/2023,Pull Ups,0,9,0,7,0,5,0,3,,,
12/15/2023,Barbell Row,115,8,115,8,9,,,,,,
12/15/2023,Bicep Curls,35,8,35,5,,,,,,,
12/15/2023,Hammer Curl,30,8,30,6,,,,,,,
12/15/2023,Rear Delt Cable Flies,12.5,13,12.5,11,12.5,11,,,,,
12/16/2023,Barbell Squat,205,7,205,6,205,6,,,,,
12/16/2023,Prone Hamstring Curls,105,10,105,7,105,6,,,,,
12/16/2023,Quad Extension Machine,160,9,160,8,160,8,,,,,
12/16/2023,Leg Raises,0,12,0,10,,,,,,,
12/17/2023,Pause Bench Press,155,7,155,6,155,5,155,4,,,
12/17/2023,Dumbbell Shoulder Press,60,6,55,9,55,6,,,,,
12/17/2023,Skullcrushers,55,14,55,12,55,8,,,,,upstairs room
12/17/2023,Lateral Raises,20,15,20,14,20,5,,,,,superdrop
12/17/2023,Decline Cable Flies,29,10,29,7,,,,,,,
12/18/2023,Pull Ups,0,10,0,7,0,6,0,3,,,
12/18/2023,Barbell Row,115,9,115,8,115,9,,,,,
12/18/2023,Bicep Curls,35,8,35,7,,,,,,,
12/18/2023,Hammer Curl,30,8,30,8,,,,,,,
12/18/2023,Rear Delt Cable Flies,12.5,12,12.5,10,12.5,8,,,,,
12/19/2023,Dumbbell Shoulder Press,60,8,60,6,60,5,60,4,,,
12/19/2023,Lateral Raises,20,18,20/15,10/12,15,18,,,,,dropset
12/19/2023,Horizontal Cable Lateral Raise,7.5,12,7.5,12,7.5,14,,,,,
12/20/2023,Barbell Squat,215,5,215,4,215,5,,,,,
12/20/2023,Prone Hamstring Curls,105,9,105,7,105,6,,,,,superset
12/20/2023,Quad Extension Machine,160,10,160,8,160,8,,,,,superset 
12/21/2023,Bench Press,175,6,175,5,175,4,,,,,
12/21/2023,Dumbbell Shoulder Press,60,7,60,6,60,6,60,4,,,
12/21/2023,Skullcrushers,55,9,55,8,55,6,,,,,
12/21/2023,Decline Cable Flies,27.5,9,27.5,9,27.5,10,,,,,
12/21/2023,Lateral Raises,20,15,20,15,20,12,,,,,superdrop
12/22/2023,Pull Ups,0,10,0,6,0,5,0,5,,,
12/22/2023,Barbell Row,95,12,105,9,105,9,105,10,,,
12/22/2023,Bicep Curls,35,8,35,5,,,,,,,
12/22/2023,Hammer Curl,30,7,30,7,,,,,,,
12/22/2023,Rear Delt Cable Flies,12.5,12,12.5,10,,,,,,,
12/26/2023,Bench Press,175,6,175,4,155,7,,,,,
12/26/2023,Dumbbell Shoulder Press,60,6,60,5,60,4,,,,,
12/26/2023,Skullcrushers,55,13,55,9,55,6,,,,,upstairs room
12/26/2023,Decline Cable Flies,25,10,25,10,,,,,,,
12/26/2023,Lateral Raises,20,14,20,14,20,,,,,,superdrop
1/3/2024,Pause Bench Press,155,8,155,6,155,4,,,,,
1/3/2024,Dumbbell Shoulder Press,60,4,60,5,68,2,,,,,
1/3/2024,Incline Dumbbell Bench Press,60,6,60,6,,,,,,,
1/3/2024,Skullcrushers,55,9,55,6,,,,,,,
1/3/2024,Lateral Raises,15,20,15,18,15,18,,,,,
1/4/2024,Pull Ups,0,9,0,8,0,6,0,5,,,
1/4/2024,Lat Pulldown,150,6,150,5,,,,,,,
1/4/2024,Barbell Row,105,10,105,9,105,8,105,,,,
1/4/2024,Bicep Curls,35,6,35,4,,,,,,,
1/4/2024,Hammer Curl,30,5,,,,,,,,,
1/4/2024,Rear Delt Fly,10,10,10,15,10,15,,,,,
1/5/2024,Barbell Squat,185,6,185,5,185,4,185,2,,,
1/5/2024,Prone Hamstring Curls,105,7,105,6,105,4,,,,,
1/5/2024,Leg Raises,0,15,0,12,0,8,,,,,
1/5/2024,Lateral Raises,20,15,20,14,20,12,,,,,
1/6/2024,Bench Press,175,7,175,5,175,5,,,,,
1/6/2024,Dumbbell Shoulder Press,60,6,60,5,60,4,,,,,
1/6/2024,Incline Dumbbell Bench Press,60,5,60,3,,,,,,,
1/6/2024,Skullcrushers,55,4,55,3,,,,,,,
1/6/2024,Lateral Raises,15,25,15,20,15,20,,,,,dropset
1/6/2024,Pec Fly Machine,110,11,110,9,,,,,,,
1/8/2024,Pull Ups,0,9,0,6,0,5,0,3,,,
1/8/2024,Barbell Row,105,11,105,11,105,9,,,,,
1/8/2024,Bicep Curls,35,7,35,5,,,,,,,
1/8/2024,Hammer Curl,30,7,30,6,,,,,,,
1/8/2024,Rear Delt Fly Machine,90,10,90,8,90,6,,,,,
1/9/2024,Barbell Squat,185,6,205,5,205,4,205,,,,
1/9/2024,Prone Hamstring Curls,110,7,110,6,110,5,,,,,
1/9/2024,Lateral Raises,20,16,20,14,20,13,,,,,
1/9/2024,Leg Raises,0,15,0,10,,,,,,,
1/10/2024,Pause Bench Press,155,8,155,6,155,4,,,,,
1/10/2024,Dumbbell Shoulder Press,60,5,60,5,,,,,,,
1/10/2024,Skullcrushers,55,12,55,9,55,9,,,,,
1/10/2024,Lateral Raises,20,15,20,14,20,12,,,,,
1/10/2024,Pec Fly Machine,120,8,120,8,,,,,,,
1/11/2024,Pull Ups,0,10,0,7,0,6,0,4,,,
1/11/2024,Barbell Row,110,9,110,8,110,8,110,7,,,
1/11/2024,Bicep Curls,35,8,35,6,,,,,,,
1/11/2024,Rear Delt Fly Machine,90,11,90,7,90,,,,,,
1/12/2024,Barbell Squat,205,6,205,5,205,4,,,,,
1/12/2024,Prone Hamstring Curls,110,7,110,6,110,4,,,,,
1/12/2024,Leg Raises,0,12,0,12,0,6,,,,,
1/14/2024,Bench Press,175,7,175,5,175,5,,,,,
1/14/2024,Dumbbell Shoulder Press,60,6,60,5,60,4,,,,,bad bench
1/14/2023,Incline Dumbbell Bench Press,60,6,60,5,,,,,,,
1/14/2024,Skullcrushers,55,7,55,7,55,2,,,,,
1/14/2024,Pec Fly Machine,120,7,120,5,110,7,,,,,
1/14/2024,Lateral Raises,20,16,20,14,20,12,,,,,
1/16/2024,Pull Ups,0,10,0,7,0,6,0,5,,,
1/16/2024,Barbell Row,115,8,115,8,115,8,,,,,
1/16/2024,Bicep Curls,35,8,35,7,,,,,,,
1/16/2024,Hammer Curl,30,9,30,8,,,,,,,
1/16/2024,Rear Delt Fly Machine,90,11,90,8,90,7,,,,,
1/17/2024,Barbell Squat,205,7,205,5,,,,,,,failure
1/17/2024,Horizontal Leg Press Machine,310,8,310,7,,,,,,,
1/17/2024,Prone Hamstring Curls,110,8,110,6,110,5,,,,,
1/17/2024,Leg Raises,0,15,0,10,0,8,,,,,
1/17/2024,Lateral Raise Machine,80,8,70,8,70,7,,,,,
1/19/2024,Bench Press,185,5,185,4,175,6,,,,,
1/19/2024,Dumbbell Shoulder Press,60,7,60,6,60,5,,,,,
1/19/2024,Incline Dumbbell Bench Press,60,6,60,4,,,,,,,stretch focus
1/19/2024,Lateral Raises,20,18,20,12,20,10,,,,,dropset
1/19/2024,Skullcrushers,55,5,45,12,,,,,,,heavier bar ?
1/19/2024,Pec Fly Machine,120,7,110,6,110,5,,,,,
1/21/2024,Pull Ups,0,10,0,6,0,5,,,,,
1/21/2024,Barbell Row,115,9,115,6,115,6,,,,,
1/21/2024,Lat Pulldown,150,8,150,5,150,5,,,,,
1/21/2024,Bicep Curls,35,8,35,6,,,,,,,
1/21/2024,Hammer Curl,30,7,30,6,,,,,,,
1/21/2024,Rear Delt Fly Machine,90,12,90,8,90,8,,,,,
1/22/2024,Barbell Squat,205,3,205,3,,,,,,,
1/22/2024,Prone Hamstring Curls,110,9,110,7,110,5,,,,,
1/22/2024,Single Leg Calf Raises,0,20,0,15,,,,,,,
1/22/2024,Leg Raises,0,14,0,8,0,8,,,,,
1/22/2024,Lateral Raise Machine,70,12,70,8,70,6,,,,,
1/23/2024,Bench Press,185,5,185,4,185,3,185,2,,,
1/23/2024,Dumbbell Shoulder Press,60,7,60,6,60,4,,,,,
1/23/2024,Incline Dumbbell Bench Press,60,6,60,4,,,,,,,
1/23/2024,Lateral Raises,20,14,20,16,20,12,,,,,dropset
1/23/2024,Pec Fly Machine,110,8,110,6,110,5,,,,,
1/23/2024,Skullcrushers,55,5,45,16,,,,,,,
1/25/2024,Pull Ups,0,9,0,6,0,5,0,4,,,
1/25/2024,Barbell Row,105,12,115,9,115,8,,,,,
1/25/2024,Lat Pulldown,120,10,140,8,150,4,,,,,
1/25/2024,Bicep Curls,35,7,35,6,,,,,,,
1/25/2024,Hammer Curl,30,7,30,6,,,,,,,
1/25/2024,Rear Delt Fly Machine,90,11,90,8,90,6,,,,,
1/26/2024,Bench Press,190,5,190,3,190,3,190,2,,,
1/26/2024,Dumbbell Shoulder Press,60,7,60,6,60,5,,,,,
1/26/2024,Incline Dumbbell Bench Press,60,6,60,5,,,,,,,
1/26/2024,Lateral Raises,20,16,20,14,20,14,,,,,
1/26/2024,Skullcrushers,50,11,50,10,50,10,,,,,
1/26/2024,Pec Fly Machine,110,8,110,6,,,,,,,
1/27/2024,Pull Ups,0,9,0,6,0,5,,,,,
1/27/2024,Barbell Row,115,10,115,8,115,8,,,,,
1/27/2024,Dumbbell Upright Row,25,15,25,12,25,15,,,,,
1/27/2023,Bicep Curls,35,7,35,6,,,,,,,
1/27/2024,Hammer Curl,30,7,30,7,,,,,,,
1/27/2024,Rear Delt Fly Machine,100,10,100,7,90,8,,,,,
1/28/2024,Bench Press,215,1,220,0,,,,,,,Pr: 215
1/28/2024,Barbell Squat,205,5,205,5,205,4,,,,,
1/28/2024,Single Leg Calf Raises,0,20,0,16,,,,,,,
1/28/2024,Prone Hamstring Curls,110,8,110,6,110,5,,,,,
1/28/2024,Leg Raises,N/A,,,,,,,,,,Partner Ab workout
1/29/2024,Bench Press,190,6,190,5,190,4,,,,,
1/29/2024,Dumbbell Shoulder Press,60,6,60,5,60,5,,,,,
1/29/2024,Lateral Raises,15,25,15,22,15,20,,,,,dropset
1/29/2024,Dips,0,6,0,8,,,,,,,
1/29/2024,Pec Fly Machine,110,7,110,7,110,5,,,,,
1/30/2024,Pull Ups,0,9,0,5,0,6,0,4,,,
1/30/2024,Barbell Row,105,14,105,14,105,12,,,,,
1/30/2024,Dumbbell Upright Row,30,14,30,12,30,12,,,,,
1/30/2024,Bicep Curls,35,8,35,6,,,,,,,
1/30/2024,Hammer Curl,30,6,30,7,,,,,,,
1/30/2024,Rear Delt Fly Machine,100,9,100,7,100,5,,,,,
1/31/2024,Bench Press,195,4,195,2,195,1,195,1,,,
1/31/2024,Dumbbell Shoulder Press,60,7,60,6,60,6,,,,,
1/31/2024,Incline Bench Press,60,7,60,6,,,,,,,
1/31/2024,Lateral Raises,20,18,20,15,20,10,,,,,dropset
1/31/2024,Skullcrushers,50,16,50,8,,,,,,,
1/31/2024,Pec Fly Machine,110,8,110,7,110,5,,,,,
2/1/2024,Pull Ups,0,9,0,6,0,6,0,4,,,
2/1/2024,Barbell Row,115,12,115,11,115,10,,,,,
2/1/2024,Dumbbell Upright Row,35,12,30,14,,,,,,,
2/1/2024,Bicep Curls,35,8,35,7,,,,,,,
2/1/2024,Hammer Curl,35,5,35,5,,,,,,,
2/1/2024,Rear Delt Fly Machine,100,11,100,8,100,7,,,,,
2/2/2024,Barbell Squat,210,4,210,4,210,3,,,,,
2/2/2024,Single Leg Calf Raises,0,20,0,20,0,15,,,,,
2/2/2024,Prone Hamstring Curls,110,10,110,5,110,4,,,,,
2/2/2024,Leg Raises,0,15,0,10,,,,,,,
2/4/2024,Bench Press,195,2,195,3,,,,,,,
2/4/2024,Dumbbell Shoulder Press,60,7,60,7,60,6,60,5,,,
2/4/2024,Incline Dumbbell Bench Press,60,6,60,60,4,,,,,,
2/4/2024,Lateral Raises,20,16,20,15,15,20,,,,,drop set
2/4/2024,Skullcrushers,50,15,50,10,50,10,,,,,
2/4/2024,Pec Fly Machine,110,7,110,6,110,5,,,,,
2/6/2024,Pull Ups,0,9,0,7,0,4,,,,,
2/6/2024,Barbell Row,120,10,120,11,,,,,,,
2/6/2024,Lat Pulldown,130,12,140,8,,,,,,,
2/6/2024,Dumbbell Upright Row,35,12,30,14,,,,,,,
2/6/2024,Bicep Curls,35,7,35,6,,,,,,,
2/6/2024,Hammer Curl,30,9,30,5,,,,,,,
2/6/2024,Rear Delt Fly Machine,100,10,100,7,100,6,,,,,
2/7/2024,Bench Press,195,3,185,5,185,3,,,,,
2/7/2024,Dumbbell Shoulder Press,60,7,60,6,60,7,,,,,
2/7/2024,Incline Dumbbell Bench Press,60,5,60,6,,,,,,,
2/7/2024,Lateral Raises,20,15,20,14,20,10,,,,,super drop
2/7/2024,Pec Fly Machine,110,10,110,8,110,3,,,,,
2/8/2024,Pull Ups,0,10,0,8,0,6,0,5,,,
2/8/2024,Barbell Row,125,8,125,7,125,8,,,,,
2/8/2024,Dumbbell Upright Row,30,15,30,14,,,,,,,
2/8/2024,Bicep Curls,35,9,35,7,,,,,,,
2/8/2024,Hammer Curl,35,6,35,3,,,,,,,
2/8/2024,Rear Delt Fly Machine,105,10,105,7,105,6,,,,,
2/9/2024,Barbell Squat,210,4,210,4,210,4,,,,,
2/9/2024,Prone Hamstring Curls,115,7,115,6,115,4,,,,,
2/9/2024,Single Leg Calf Raises,0,22,0,20,0,18,,,,,
2/9/2024,Horizontal Leg Press Machine,310,10,310,8,,,,,,,
2/9/2024,Leg Raises,0,12,0,10,0,8,,,,,
2/10/2024,Bench Press,220,1,190,5,190,3,190,2,,,PR: 220
